video_id,video_name,stats.movement_counts.dolly_in,z_score
6897953983655136527,6897953983655136527.mp4,21.0,11.669257357425927
7045383922292641031,7045383922292641031.mp4,21.0,11.669257357425927
7002783251727142174,7002783251727142174.mp4,19.0,10.521959781101685
7027674089112341795,7027674089112341795.mp4,19.0,10.521959781101685
6990508795952713000,6990508795952713000.mp4,19.0,10.521959781101685
7041933462365883683,7041933462365883683.mp4,19.0,10.521959781101685
7037803401752677662,7037803401752677662.mp4,19.0,10.521959781101685
6958612363197041931,6958612363197041931.mp4,18.0,9.948310992939565
6956472320345066785,6956472320345066785.mp4,18.0,9.948310992939565
7005708253988506894,7005708253988506894.mp4,17.0,9.374662204777444
3xpxazku5zy6hki,3xpxazku5zy6hki.mp4,17.0,9.374662204777444
7026575265421610244,7026575265421610244.mp4,17.0,9.374662204777444
6872644808154844424,6872644808154844424.mp4,16.0,8.801013416615321
7055906127388658974,7055906127388658974.mp4,15.0,8.2273646284532
7033661092387720460,7033661092387720460.mp4,14.0,7.65371584029108
7035566006554643751,7035566006554643751.mp4,14.0,7.65371584029108
7021289862108122404,7021289862108122404.mp4,12.0,6.506418263966838
7028453876248399135,7028453876248399135.mp4,12.0,6.506418263966838
7055213699849538831,7055213699849538831.mp4,12.0,6.506418263966838
7049986028387568935,7049986028387568935.mp4,11.0,5.932769475804717
6658113316042345736,6658113316042345736.mp4,11.0,5.932769475804717
6967304512025529639,6967304512025529639.mp4,11.0,5.932769475804717
6716132354248674563,6716132354248674563.mp4,10.0,5.359120687642596
6969146657258736934,6969146657258736934.mp4,10.0,5.359120687642596
6862620046783548686,6862620046783548686.mp4,10.0,5.359120687642596
6958568570905201920,6958568570905201920.mp4,9.0,4.785471899480475
7057819525407952167,7057819525407952167.mp4,9.0,4.785471899480475
7051110607449263398,7051110607449263398.mp4,9.0,4.785471899480475
6766392183114222856,6766392183114222856.mp4,9.0,4.785471899480475
6824303959415557387,6824303959415557387.mp4,9.0,4.785471899480475
7008825846341340449,7008825846341340449.mp4,9.0,4.785471899480475
6958984117077773601,6958984117077773601.mp4,9.0,4.785471899480475
7014507425130761479,7014507425130761479.mp4,9.0,4.785471899480475
3xjsgikfd6fxf4m,3xjsgikfd6fxf4m.mp4,9.0,4.785471899480475
6958423364281175331,6958423364281175331.mp4,9.0,4.785471899480475
6987976900471770399,6987976900471770399.mp4,9.0,4.785471899480475
6999917049434737924,6999917049434737924.mp4,9.0,4.785471899480475
6671891732524829965,6671891732524829965.mp4,8.0,4.211823111318354
7037462720379211011,7037462720379211011.mp4,8.0,4.211823111318354
6841818957217795335,6841818957217795335.mp4,8.0,4.211823111318354
6683813797590863117,6683813797590863117.mp4,8.0,4.211823111318354
6952424015675886855,6952424015675886855.mp4,8.0,4.211823111318354
7003606994833771806,7003606994833771806.mp4,8.0,4.211823111318354
6906797838299090184,6906797838299090184.mp4,8.0,4.211823111318354
6906526529145081103,6906526529145081103.mp4,8.0,4.211823111318354
6858543833941101836,6858543833941101836.mp4,8.0,4.211823111318354
3xtgpgvdjhncxw6,3xtgpgvdjhncxw6.mp4,7.0,3.638174323156233
7041921581278416158,7041921581278416158.mp4,7.0,3.638174323156233
7045264001541917966,7045264001541917966.mp4,7.0,3.638174323156233
7030642279803079973,7030642279803079973.mp4,7.0,3.638174323156233
