feature_a,feature_b,r,abs_r
stats.editing_rhythm_guess==fast,analysis.video_analysis.editing_rhythm==fast,1.0,1.0
stats.editing_rhythm_guess==fast,analysis.style_tags==fast,1.0,1.0
stats.editing_rhythm_guess==moderate,analysis.video_analysis.editing_rhythm==moderate,1.0,1.0
stats.editing_rhythm_guess==moderate,analysis.style_tags==moderate,1.0,1.0
stats.editing_rhythm_guess==slow,analysis.video_analysis.editing_rhythm==slow,1.0,1.0
stats.editing_rhythm_guess==very_fast,analysis.video_analysis.editing_rhythm==very_fast,1.0,1.0
analysis.video_analysis.editing_rhythm==fast,analysis.style_tags==fast,1.0,1.0
analysis.video_analysis.editing_rhythm==moderate,analysis.style_tags==moderate,1.0,1.0
stats.lighting.quality==high_contrast,analysis.video_analysis.lighting_style==high_contrast,1.0,1.0
stats.lighting.quality==medium_contrast,analysis.video_analysis.lighting_style==medium_contrast,1.0,1.0
stats.lighting.quality==soft_low_contrast,analysis.video_analysis.lighting_style==soft_low_contrast,1.0,1.0
stats.lighting.quality==soft_low_contrast,analysis.style_tags==soft_low_contrast,1.0,1.0
stats.lighting.color_temperature==cool_tone,analysis.video_analysis.color_tone==cool_tone,1.0,1.0
stats.lighting.color_temperature==cool_tone,analysis.style_tags==cool_tone,1.0,1.0
stats.lighting.color_temperature==neutral_tone,analysis.video_analysis.color_tone==neutral_tone,1.0,1.0
stats.lighting.color_temperature==neutral_tone,analysis.style_tags==neutral_tone,1.0,1.0
stats.lighting.color_temperature==warm_tone,analysis.video_analysis.color_tone==warm_tone,1.0,1.0
analysis.video_analysis.color_tone==cool_tone,analysis.style_tags==cool_tone,1.0,1.0
analysis.video_analysis.color_tone==neutral_tone,analysis.style_tags==neutral_tone,1.0,1.0
analysis.video_analysis.lighting_style==soft_low_contrast,analysis.style_tags==soft_low_contrast,1.0,1.0
analysis.video_analysis.shot_types==close_shot,analysis.video_analysis.overall_style==tense_mood,1.0,1.0
analysis.video_analysis.shot_types==close_shot,analysis.style_tags==tense_mood,1.0,1.0
analysis.video_analysis.camera_movements==dolly_in,analysis.style_tags==dolly_in,1.0,1.0
analysis.video_analysis.camera_movements==pan_horizontal,analysis.style_tags==pan_horizontal,1.0,1.0
analysis.video_analysis.camera_movements==tilt_vertical,analysis.style_tags==tilt_vertical,1.0,1.0
analysis.video_analysis.composition_styles==symmetrical_composition,analysis.style_tags==long_shot,1.0,1.0
analysis.video_analysis.overall_style==cinematic_style,analysis.style_tags==cinematic_style,1.0,1.0
analysis.video_analysis.overall_style==tense_mood,analysis.style_tags==tense_mood,1.0,1.0
stats.lighting.quality==medium_contrast,analysis.style_tags==medium_contrast,0.9993851936974623,0.9993851936974623
analysis.video_analysis.lighting_style==medium_contrast,analysis.style_tags==medium_contrast,0.9993851936974623,0.9993851936974623
stats.lighting.quality==high_contrast,analysis.style_tags==high_contrast,0.9988191327588494,0.9988191327588494
analysis.video_analysis.lighting_style==high_contrast,analysis.style_tags==high_contrast,0.9988191327588494,0.9988191327588494
stats.editing_rhythm_guess==very_fast,analysis.style_tags==very_fast,0.9987794917816326,0.9987794917816326
analysis.video_analysis.editing_rhythm==very_fast,analysis.style_tags==very_fast,0.9987794917816326,0.9987794917816326
analysis.video_analysis.overall_style==warm_mood,analysis.style_tags==warm_mood,0.9986740364471633,0.9986740364471633
stats.lighting.color_temperature==cool_tone,stats.lighting.color_temperature==warm_tone,-0.9986696791209966,0.9986696791209966
stats.lighting.color_temperature==cool_tone,analysis.video_analysis.color_tone==warm_tone,-0.9986696791209966,0.9986696791209966
stats.lighting.color_temperature==warm_tone,analysis.video_analysis.color_tone==cool_tone,-0.9986696791209966,0.9986696791209966
stats.lighting.color_temperature==warm_tone,analysis.style_tags==cool_tone,-0.9986696791209966,0.9986696791209966
analysis.video_analysis.color_tone==cool_tone,analysis.video_analysis.color_tone==warm_tone,-0.9986696791209966,0.9986696791209966
analysis.video_analysis.color_tone==warm_tone,analysis.style_tags==cool_tone,-0.9986696791209966,0.9986696791209966
analysis.video_analysis.camera_movements==dolly_out,analysis.style_tags==dolly_out,0.9972739859142571,0.9972739859142571
stats.lighting.color_temperature==warm_tone,analysis.style_tags==warm_tone,0.9966838725567804,0.9966838725567804
analysis.video_analysis.color_tone==warm_tone,analysis.style_tags==warm_tone,0.9966838725567804,0.9966838725567804
stats.lighting.color_temperature==cool_tone,analysis.style_tags==warm_tone,-0.9953579631913534,0.9953579631913534
analysis.video_analysis.color_tone==cool_tone,analysis.style_tags==warm_tone,-0.9953579631913534,0.9953579631913534
analysis.style_tags==cool_tone,analysis.style_tags==warm_tone,-0.9953579631913534,0.9953579631913534
stats.lighting.color_temperature==warm_tone,analysis.style_tags==warm_mood,0.9946947532898165,0.9946947532898165
analysis.video_analysis.color_tone==warm_tone,analysis.style_tags==warm_mood,0.9946947532898165,0.9946947532898165
stats.lighting.color_temperature==warm_tone,analysis.video_analysis.overall_style==warm_mood,0.9946874547246802,0.9946874547246802
analysis.video_analysis.color_tone==warm_tone,analysis.video_analysis.overall_style==warm_mood,0.9946874547246802,0.9946874547246802
stats.lighting.color_temperature==cool_tone,analysis.style_tags==warm_mood,-0.9933689919189141,0.9933689919189141
analysis.video_analysis.color_tone==cool_tone,analysis.style_tags==warm_mood,-0.9933689919189141,0.9933689919189141
analysis.style_tags==cool_tone,analysis.style_tags==warm_mood,-0.9933689919189141,0.9933689919189141
stats.lighting.color_temperature==cool_tone,analysis.video_analysis.overall_style==warm_mood,-0.9933592021717724,0.9933592021717724
analysis.video_analysis.color_tone==cool_tone,analysis.video_analysis.overall_style==warm_mood,-0.9933592021717724,0.9933592021717724
analysis.video_analysis.overall_style==warm_mood,analysis.style_tags==cool_tone,-0.9933592021717723,0.9933592021717723
analysis.style_tags==warm_mood,analysis.style_tags==warm_tone,0.9927045657903496,0.9927045657903496
analysis.video_analysis.overall_style==warm_mood,analysis.style_tags==warm_tone,0.9927005956432884,0.9927005956432884
stats.editing_rhythm_guess==slow,analysis.style_tags==slow,0.9909587441378085,0.9909587441378085
analysis.video_analysis.editing_rhythm==slow,analysis.style_tags==slow,0.9909587441378085,0.9909587441378085
analysis.video_analysis.overall_style==narrative_style,analysis.style_tags==medium_shot,0.9716905926744674,0.9716905926744674
analysis.video_analysis.overall_style==narrative_style,analysis.style_tags==narrative_style,0.9716905926744667,0.9716905926744667
analysis.video_analysis.shot_types==long_shot,analysis.video_analysis.shot_types==medium_shot,-0.965957966085363,0.965957966085363
analysis.video_analysis.camera_movements==static_shot,analysis.style_tags==static_shot,0.9560852540726591,0.9560852540726591
analysis.style_tags==medium_shot,analysis.style_tags==narrative_style,0.9408992318857101,0.9408992318857101
analysis.video_analysis.shot_types==long_shot,analysis.style_tags==medium_shot,-0.9390761244607119,0.9390761244607119
analysis.style_tags==medium_shot,analysis.style_tags==rule_of_thirds,0.9390761244607113,0.9390761244607113
stats.lighting.quality==medium_contrast,analysis.video_analysis.lighting_style==high_contrast,-0.9336392394934365,0.9336392394934365
stats.lighting.quality==high_contrast,stats.lighting.quality==medium_contrast,-0.9336392394934364,0.9336392394934364
stats.lighting.quality==high_contrast,analysis.video_analysis.lighting_style==medium_contrast,-0.9336392394934364,0.9336392394934364
analysis.video_analysis.lighting_style==high_contrast,analysis.video_analysis.lighting_style==medium_contrast,-0.9336392394934364,0.9336392394934364
stats.lighting.quality==high_contrast,analysis.style_tags==medium_contrast,-0.9330652322046993,0.9330652322046993
analysis.video_analysis.lighting_style==high_contrast,analysis.style_tags==medium_contrast,-0.9330652322046993,0.9330652322046993
stats.lighting.quality==medium_contrast,analysis.style_tags==high_contrast,-0.9325367355004668,0.9325367355004668
analysis.video_analysis.lighting_style==medium_contrast,analysis.style_tags==high_contrast,-0.9325367355004668,0.9325367355004668
analysis.style_tags==high_contrast,analysis.style_tags==medium_contrast,-0.9319634060381367,0.9319634060381367
analysis.video_analysis.shot_types==medium_shot,analysis.video_analysis.composition_styles==symmetrical_composition,-0.9255637464242168,0.9255637464242168
analysis.video_analysis.shot_types==medium_shot,analysis.style_tags==long_shot,-0.9255637464242168,0.9255637464242168
analysis.video_analysis.shot_types==medium_shot,analysis.video_analysis.composition_styles==rule_of_thirds,0.9255637464242147,0.9255637464242147
analysis.video_analysis.shot_types==long_shot,analysis.video_analysis.overall_style==narrative_style,-0.9124914359436719,0.9124914359436719
analysis.video_analysis.overall_style==narrative_style,analysis.style_tags==rule_of_thirds,0.9124914359436713,0.9124914359436713
analysis.video_analysis.shot_types==medium_shot,analysis.style_tags==medium_shot,0.9071080631833925,0.9071080631833925
analysis.video_analysis.shot_types==medium_shot,analysis.style_tags==rule_of_thirds,0.89667419794434,0.89667419794434
analysis.video_analysis.overall_style==documentary_style,analysis.style_tags==documentary_style,0.8943036427997275,0.8943036427997275
analysis.video_analysis.shot_types==long_shot,analysis.video_analysis.composition_styles==symmetrical_composition,0.8940556739782801,0.8940556739782801
analysis.video_analysis.shot_types==long_shot,analysis.style_tags==long_shot,0.8940556739782801,0.8940556739782801
analysis.video_analysis.composition_styles==rule_of_thirds,analysis.style_tags==rule_of_thirds,0.894055673978279,0.894055673978279
analysis.video_analysis.shot_types==long_shot,analysis.video_analysis.composition_styles==rule_of_thirds,-0.8940556739782789,0.8940556739782789
analysis.video_analysis.shot_types==medium_shot,analysis.video_analysis.overall_style==narrative_style,0.8814283715344575,0.8814283715344575
analysis.style_tags==narrative_style,analysis.style_tags==rule_of_thirds,0.8761759881508385,0.8761759881508385
analysis.video_analysis.shot_types==long_shot,analysis.style_tags==narrative_style,-0.8761759881508384,0.8761759881508384
analysis.video_analysis.shot_types==long_shot,analysis.style_tags==rule_of_thirds,-0.8661124965364363,0.8661124965364363
analysis.video_analysis.shot_types==medium_shot,analysis.style_tags==narrative_style,0.8420092548944184,0.8420092548944184
analysis.video_analysis.composition_styles==rule_of_thirds,analysis.style_tags==medium_shot,0.8395863373716317,0.8395863373716317
analysis.video_analysis.composition_styles==symmetrical_composition,analysis.style_tags==medium_shot,-0.8395863373716315,0.8395863373716315
analysis.style_tags==long_shot,analysis.style_tags==medium_shot,-0.8395863373716315,0.8395863373716315
analysis.video_analysis.composition_styles==rule_of_thirds,analysis.video_analysis.composition_styles==symmetrical_composition,-0.8327796234772953,0.8327796234772953
analysis.video_analysis.composition_styles==rule_of_thirds,analysis.style_tags==long_shot,-0.8327796234772953,0.8327796234772953
analysis.video_analysis.composition_styles==symmetrical_composition,analysis.style_tags==rule_of_thirds,-0.8192413726367873,0.8192413726367873
