field,r_point_biserial,r_spearman,n,abs_r_pb
stats.avg_shot_len_sec,-0.18209409694040732,-0.21285421191613757,3624,0.18209409694040732
stats.cuts_per_30s,0.12268149163787993,0.18482156342913453,3624,0.12268149163787993
stats.lighting.v_std,-0.08991349309110129,-0.09777967419308106,3624,0.08991349309110129
stats.movement_counts.dolly_out,-0.07147970223838859,-0.042237932134796784,3624,0.07147970223838859
stats.movement_counts.dolly_in,-0.06690826819157683,-0.014186657948076789,3624,0.06690826819157683
stats.movement_counts.static_shot,0.05880783839085015,0.13195110758769638,3624,0.05880783839085015
stats.lighting.v_mean,0.05603884961908349,0.05051924341715293,3624,0.05603884961908349
stats.movement_counts.pan_horizontal,0.03283597122309306,0.09364670360621465,3624,0.03283597122309306
stats.movement_counts.tilt_vertical,0.026641132331789656,0.062029408385575226,3624,0.026641132331789656
stats.lighting.s_mean,0.021993947775266923,0.032883490125424006,3624,0.021993947775266923
stats.num_shots,0.015658826662486254,0.12854459916774733,3624,0.015658826662486254
analysis.video_analysis.confidence_score,0.0035821251668820223,1.0830833093172244e-05,3624,0.0035821251668820223
