group,field,kind,psi,ks_stat,wasserstein,sv_missing_rate,tt_missing_rate,sv_n,tt_n
stats,stats.avg_shot_len_sec,numeric_scalar,0.27955767601535725,0.23047948660805856,9.997331899868392,0.0,0.0,3624,1991
stats,stats.lighting.v_mean,numeric_scalar,0.25565721579142436,0.22750764200491616,0.09310327017938339,0.0,0.0,3624,1991
stats,stats.lighting.condition,categorical_scalar,0.21316287396777975,,,0.0,0.0,3624,1991
stats,stats.cuts_per_30s,numeric_scalar,0.19225306066491887,0.2096509347250264,1.368540697626072,0.0,0.0,3624,1991
stats,stats.editing_rhythm_guess,categorical_scalar,0.1604637374606448,,,0.0,0.0,3624,1991
analysis,analysis.video_analysis.editing_rhythm,categorical_scalar,0.1604637374606448,,,0.0,0.0,3624,1991
stats,stats.movement_counts.static_shot,numeric_scalar,0.13856031711598468,0.16656286068766402,0.718983771341899,0.0,0.0,3624,1991
stats,stats.lighting.v_std,numeric_scalar,0.10350351821587231,0.1339698621722697,0.020694456040038896,0.0,0.0,3624,1991
stats,stats.num_shots,numeric_scalar,0.07941126267006593,0.13304614141118476,1.00469607715958,0.0,0.0,3624,1991
stats,stats.lighting.quality,categorical_scalar,0.041352115384848766,,,0.0,0.0,3624,1991
analysis,analysis.video_analysis.lighting_style,categorical_scalar,0.041352115384848766,,,0.0,0.0,3624,1991
stats,stats.movement_counts.tilt_vertical,numeric_scalar,0.023581682396119026,0.07115698901125705,0.19926257563007055,0.0,0.0,3624,1991
stats,stats.lighting.s_mean,numeric_scalar,0.01742278192362368,0.04858466299229535,0.010805271763775843,0.0,0.0,3624,1991
stats,stats.lighting.color_temperature,categorical_scalar,0.015518059461738211,,,0.0,0.0,3624,1991
analysis,analysis.video_analysis.color_tone,categorical_scalar,0.015518059461738211,,,0.0,0.0,3624,1991
stats,stats.movement_counts.dolly_in,numeric_scalar,0.011591078487755094,0.03145584490028528,0.08676294983052857,0.0,0.0,3624,1991
analysis,analysis.video_analysis.composition_styles,categorical_multilabel,0.0089636279212028,,,0.0,0.0,3628,1994
stats,stats.movement_counts.pan_horizontal,numeric_scalar,0.007892142664796075,0.03055402179565218,0.13154365727451267,0.0,0.0,3624,1991
analysis,analysis.video_analysis.shot_types,categorical_multilabel,0.006138956971411987,,,0.0,0.0,3627,1991
analysis,analysis.video_analysis.camera_movements,categorical_multilabel,0.005816279425741949,,,0.0,0.0,3625,1991
analysis,analysis.video_analysis.overall_style,categorical_multilabel,0.005571343540453832,,,0.0,0.0,9790,5480
stats,stats.movement_counts.dolly_out,numeric_scalar,0.0021436969197467567,0.01990912749758017,0.0636354212055793,0.0,0.0,3624,1991
analysis,analysis.video_analysis.confidence_score,numeric_scalar,0.0,0.003571535485845244,0.0008744302451539843,0.0,0.0,3624,1991
