video_id,video_name,stats.cuts_per_30s,z_score
7304811370506161441,7304811370506161441.mp4,54.982,12.13537002020217
7209726742934752558,7209726742934752558.mp4,49.065,10.775401156747833
7306170901333069062,7306170901333069062.mp4,43.053,9.393597403648716
7113354387119951147,7113354387119951147.mp4,39.129,8.491701540847497
7262541717226753323,7262541717226753323.mp4,36.63,7.917329022717975
7218913957489298694,7218913957489298694.mp4,35.855,7.739202291405296
7215257056058658053,7215257056058658053.mp4,35.855,7.739202291405296
6915479546280119557,6915479546280119557.mp4,34.75,7.485228048694964
6942936552515341573,6942936552515341573.mp4,32.753,7.02623568426733
7324901378667597098,7324901378667597098.mp4,30.577,6.526101790930058
7265630423693217067,7265630423693217067.mp4,29.871,6.363834084727799
7236132863727488261,7236132863727488261.mp4,28.25,5.991261915104768
7281038330848922922,7281038330848922922.mp4,25.327,5.319436836876438
7114756020890701102,7114756020890701102.mp4,24.162,5.051672137548349
7262735814474468650,7262735814474468650.mp4,24.025,5.020183928271139
6998343170459241734,6998343170459241734.mp4,22.119,4.582107089713769
7116595147093183786,7116595147093183786.mp4,20.879,4.297104319613485
6954378448177515782,6954378448177515782.mp4,20.859,4.2925075007409
6857242721631964421,6857242721631964421.mp4,20.597,4.232289173510034
7213732976545287430,7213732976545287430.mp4,19.481,3.9757866804197786
7253105055149198635,7253105055149198635.mp4,19.479,3.9753269985325197
7155992484311616810,7155992484311616810.mp4,18.707,3.7978897900507307
7162531297846480171,7162531297846480171.mp4,18.631,3.7804218783349066
7286235529442512159,7286235529442512159.mp4,18.618,3.7774339460677258
7311857161766767918,7311857161766767918.mp4,17.899,3.612178307598288
6917076995662826758,6917076995662826758.mp4,17.433,3.5050724278670518
7299183563436592389,7299183563436592389.mp4,17.138,3.4372693494964204
7277581345709100293,7277581345709100293.mp4,16.748,3.3476313814810084
7177101453100617006,7177101453100617006.mp4,16.647,3.3244174461744525
7116608504693017861,7116608504693017861.mp4,16.634,3.3214295139072725
7324728113659694367,7324728113659694367.mp4,16.549,3.3018930336987853
7093216545924746542,7093216545924746542.mp4,16.252,3.2336302734408946
6896282356567592193,6896282356567592193.mp4,15.976,3.170194172999219
7333635381662879019,7333635381662879019.mp4,15.569,3.0766489089421096
7240162563835628846,7240162563835628846.mp4,15.509,3.062858452324354
7304644145694526728,7304644145694526728.mp4,15.088,2.9660954150564347
7273756043782491434,7273756043782491434.mp4,15.053,2.958050982029411
7231658940013006106,7231658940013006106.mp4,15.001,2.946099252960689
7184891281691135275,7184891281691135275.mp4,14.615,2.857380648719795
7306834549990837546,7306834549990837546.mp4,14.412,2.810722937163055
7254879689276149018,7254879689276149018.mp4,14.34,2.7941743892217477
7337480208469003562,7337480208469003562.mp4,14.183,2.7580893610719537
7074071151428816170,7074071151428816170.mp4,13.835,2.678104712688971
7212265729310231854,7212265729310231854.mp4,13.776,2.664544097014845
7329504585217854728,7329504585217854728.mp4,13.729,2.6537415726642695
7107363628889722117,7107363628889722117.mp4,13.341,2.564563286536116
7336943504683207978,7336943504683207978.mp4,13.242,2.5418090331168197
7254422976064408834,7254422976064408834.mp4,13.076,2.503655436474362
7250334615833972010,7250334615833972010.mp4,12.974,2.4802116602241773
7312957404180679978,7312957404180679978.mp4,12.896,2.4622840666210952
