video_id,video_name,stats.lighting.s_mean,z_score
7287690513119972638,7287690513119972638.mp4,0.961,3.961324677000547
7324901378667597098,7324901378667597098.mp4,0.946,3.8730630145438867
7286433779818876166,7286433779818876166.mp4,0.918,3.708307911291453
6871388121729076486,6871388121729076486.mp4,0.918,3.708307911291453
7330432178167287083,7330432178167287083.mp4,0.912,3.6730032463087885
7224019720037567750,7224019720037567750.mp4,0.908,3.6494668029870123
6991676181066091782,6991676181066091782.mp4,0.902,3.614162138004348
6777006337743129862,6777006337743129862.mp4,0.891,3.5494369188694637
6871068514409532677,6871068514409532677.mp4,0.885,3.514132253886799
7205069178183765254,7205069178183765254.mp4,0.873,3.44352292392147
6887383783855623430,6887383783855623430.mp4,0.846,3.2846519314994795
7335270497548061995,7335270497548061995.mp4,0.823,3.149317382399267
6718519652286287110,6718519652286287110.mp4,0.821,3.1375491607383785
6872885292760599814,6872885292760599814.mp4,0.814,3.0963603849252697
7137754149831134469,7137754149831134469.mp4,0.813,3.090476274094826
7319380141342330144,7319380141342330144.mp4,0.806,3.049287498281718
7336362148207021355,7336362148207021355.mp4,0.79,2.955141724994613
7029214433578650927,7029214433578650927.mp4,0.778,2.884532395029284
7290346628110699818,7290346628110699818.mp4,0.771,2.8433436192161756
7233010875165101313,7233010875165101313.mp4,0.769,2.8315753975552873
7273527966674521386,7273527966674521386.mp4,0.765,2.808038954233511
6982349074590665990,6982349074590665990.mp4,0.764,2.8021548434030668
7193460954993003819,7193460954993003819.mp4,0.761,2.7845025109117345
7323650554100583723,7323650554100583723.mp4,0.759,2.7727342892508466
7339164334095961387,7339164334095961387.mp4,0.752,2.731545513437738
6879263553962937601,6879263553962937601.mp4,0.75,2.71977729177685
7192800714714877227,7192800714714877227.mp4,0.746,2.6962408484550737
6773444093419736326,6773444093419736326.mp4,0.743,2.6785885159637415
6898538559721049350,6898538559721049350.mp4,0.741,2.666820294302853
7311857161766767918,7311857161766767918.mp4,0.74,2.6609361834724092
7058335218532650286,7058335218532650286.mp4,0.734,2.6256315184897447
7330430540274994478,7330430540274994478.mp4,0.734,2.6256315184897447
7302107778175208750,7302107778175208750.mp4,0.732,2.613863296828857
7257656943123172634,7257656943123172634.mp4,0.73,2.6020950751679686
7091398950535564586,7091398950535564586.mp4,0.722,2.5550221885244158
7342511696935750930,7342511696935750930.mp4,0.716,2.5197175235417517
7314308795176455470,7314308795176455470.mp4,0.712,2.496181080219975
7234304161142181166,7234304161142181166.mp4,0.712,2.496181080219975
7213166465363610926,7213166465363610926.mp4,0.708,2.472644636898199
7312390722563460384,7312390722563460384.mp4,0.706,2.460876415237311
7215762552146496769,7215762552146496769.mp4,0.706,2.460876415237311
7311923068002241838,7311923068002241838.mp4,0.703,2.443224082745979
7339693497705860394,7339693497705860394.mp4,0.701,2.4314558610850905
7154358747605814570,7154358747605814570.mp4,0.699,2.419687639424202
7134844469093961006,7134844469093961006.mp4,0.698,2.4138035285937582
7291839224716791071,7291839224716791071.mp4,0.693,2.384382974441538
7109712915544034603,7109712915544034603.mp4,0.693,2.384382974441538
7312960412440448257,7312960412440448257.mp4,0.692,2.3784988636110937
7227575918766738715,7227575918766738715.mp4,0.69,2.366730641950206
7294993223771082016,7294993223771082016.mp4,0.687,2.349078309458874
